order_id,restaurant_id,customer_id,carrier_id,customer_lat,customer_lon,date,time,is_peak_time,is_weekend,carrier_vehicle,shopping_cart,coupon_discount,order_price,shortest_distance_to_customer,travel_time_minutes,restaurant_rating,delivery_charges
ORD105989,REST1781,CUST11240,COUR4882,-37.799475799999996,144.9368155,2020-05-24,14:42:11,0,1,Motorbike,"[('beef burger', 3), ('chicken burger', 2)]",20,40.36,3585.0,7,,4.351
ORD322559,REST1801,CUST07028,COUR4957,-37.803883500000005,144.95744,2020-03-07,12:19:46,1,1,Car,"[('tandoori chicken', 2), ('chicken guntur', 3), ('panner tikka', 2)]",10,70.839,837.0,2,,5.1515
ORD049292,REST1781,CUST09653,COUR0307,-37.801483700000006,145.004298,2020-11-16,12:47:28,1,0,Bike,"[('veggie pizza', 2), ('chicken burger', 3), ('beef burger', 3)]",20,64.6,4699.0,23,,6.5655
ORD155078,REST1801,CUST13998,COUR0281,-37.8104156,144.9614858,2020-12-25,02:42:11,0,0,Bike,"[('crispy chicken', 3), ('naan', 1), ('tandoori chicken', 3), ('hyderabadi biryani', 2)]",10,110.853,,7,,
ORD276190,REST1450,CUST05808,COUR0507,-37.814477600000004,144.9788447,2020-07-21,07:15:09,0,0,Car,"[('poha', 3), ('jalebi', 3), ('puri sabzi', 1), ('rasgulla', 1)]",40,58.146,,6,,
ORD224991,REST1781,CUST08944,COUR1345,-37.8020638,144.9657071,2020-11-15,00:47:28,0,1,Motorbike,"[('burgers', 3), ('coffee', 2), ('pizza', 1)]",10,77.733,1621.0,3,,3.8776
ORD257832,REST1858,CUST01571,COUR1311,-37.8216271,144.9893759,2020-08-12,20:18:27,0,0,Motorbike,"[('crab toast', 2), ('mackerel fry', 3), ('roast beef', 3)]",0,112.01,564.0,1,,2.9567
ORD062877,REST0936,CUST02119,COUR4040,-37.8005656,144.9528142,2020-06-21,21:53:24,0,1,Car,"[('saffron pilaf', 3), ('mocha chingri', 3), ('tender coconut ice cream', 1)]",0,148.29,2533.0,6,,4.215
ORD228205,REST1450,CUST10187,COUR3061,-37.8201101,144.96895700000002,2020-07-13,17:28:21,0,0,Bike,"[('jalebi', 1), ('rasgulla', 1), ('kachori', 3), ('poha', 2)]",45,40.249,1576.0,8,,3.9153
ORD048967,REST0936,CUST12272,COUR2788,-37.8216013,144.961298,2020-09-10,04:21:05,0,0,Motorbike,"[('cheesecake', 2), ('tender coconut ice cream', 3)]",45,46.497,3619.0,7,,3.2752
ORD074963,REST1801,CUST00729,COUR4906,-37.8140509,144.9599803,2020-08-22,20:18:27,0,1,Car,"[('hyderabadi biryani', 3), ('chicken boneless biryani', 1)]",40,27.372,1911.0,5,,4.1816
ORD131349,REST1858,CUST01022,COUR3112,-37.804446899999995,144.91663180000003,2020-11-04,23:52:05,0,0,Bike,"[('kerala parotta', 2), ('roast beef', 1), ('appam', 3), ('beef fry', 2)]",0,130.0,,35,,
ORD066228,REST0936,CUST05774,COUR2455,-37.8109721,144.94358830000002,2020-02-09,09:57:21,0,1,Bike,"[('begun pora', 3), ('banana chips', 2), ('cheesecake', 3), ('paratha', 2)]",0,169.11,1348.0,7,,4.594
ORD070857,REST0936,CUST06400,COUR3393,-37.818185799999995,144.975564,2020-12-19,00:07:54,0,1,Bike,"[('mocha chingri', 2), ('paratha', 3), ('banana chips', 2)]",45,58.201,4792.0,24,,6.0569
ORD313169,REST1801,CUST09451,COUR1560,-37.7874325,144.9803767,2020-11-07,17:36:15,0,1,Car,"[('chicken guntur', 3), ('naan', 3), ('chicken boneless biryani', 1), ('panner tikka', 1)]",10,86.319,,8,,
ORD199551,REST1801,CUST05818,COUR2097,-37.813674799999994,144.9818194,2020-01-09,03:05:56,0,0,Motorbike,"[('hyderabadi biryani', 3), ('chicken boneless biryani', 1), ('panner tikka', 3), ('naan', 3)]",0,102.56,,6,,
ORD088308,REST1781,CUST07767,COUR3059,-37.8137047,144.9655369,2020-03-03,02:30:19,0,0,Car,"[('beef burger', 2), ('pizza', 2), ('peri peri chicken wings', 3)]",0,119.35,86.0,0,,3.0022
ORD214995,REST1450,CUST03576,COUR0579,-37.79938,144.9730048,2020-02-04,00:55:23,0,0,Motorbike,"[('kachori', 3), ('puri sabzi', 3), ('poha', 3)]",40,65.214,,7,,
